Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Tableau 10 Essential Training,"Tableau is the widely used data analytics and visualization tool that many consider indispensable for data-science-related work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. <em>Tableau 10: Essential Training</em> explains everything you need to know to analyze and display data using Tableau Desktop—and make better, more data-driven decisions for your company. After completing the course, you'll be able to install Tableau, connect to data sources, summarize data, and create, manipulate, and share data visualizations, including highlight tables, charts, scatter plots, histograms, maps, dashboards, and more.",Course,2019-06-22 13:04 UTC,N/A,false,N/A,
D3.js Essential Training for Data Scientists,"Take your visualizations beyond boring charts. D3.js enables you to create spatial maps, tree diagrams, stack charts, and more, all with a web browser and a few lines of code. There's something for everyone in data science: statisticians, scientists, mathematicians, and analysts. <em>D3.js Essential Training for Data Scientists</em> unlocks the keys to this versatile approach. Follow along with data consultant Emma Saunders as she shows how to build beautiful and interactive data visualizations with D3.<br><br>

Start off with a review of HTML, CSS, and JavaScript—some basic coding skills you need to use the D3 library. Then learn how to make a simple bar chart and create basic shapes and text. Emma also introduces the path function and the power of generators for drawing more complex shapes. Then find out how to pull in JSON, XML, and CSV files to create more complex graphics such as tree and Voronoi diagrams, and manipulate your data for advanced graphics using map, stack, and nest functions. The course wraps up with tips for adding interactivity and picking the right graphic for your data.",Course,2018-10-25 18:27 UTC,N/A,false,N/A,
Excel for Mac 2016: Pivot Tables in Depth,"Learn how to summarize, sort, and analyze your data in using one of the most overlooked features in Microsoft Excel for Mac 2016: PivotTables. Author Curt Frye shows you how to gain more valuable insights from your organization's data—demystifying the complexity of PivotTables while demonstrating their power. His tutorials show how to build PivotTables from Excel workbooks or external data sources, add calculated fields, filter results, and format your layout to make it more readable. Plus, learn how to use conditional formatting to intelligently highlight cells, apply color scales, create data bars, and share your PivotTable results in printouts or via PDF.",Course,2019-06-20 05:22 UTC,N/A,false,N/A,
Building a Recommendation System with Python Machine Learning & AI,"Discover how to use Python—and some essential machine learning concepts—to build programs that can make recommendations. In this hands-on course, Lillian Pierson, P.E. covers the different types of recommendation systems out there, and shows how to build each one. She helps you learn the concepts behind how recommendation systems work by taking you through a series of examples and exercises. Once you're familiar with the underlying concepts, Lillian explains how to apply statistical and machine learning methods to construct your own recommenders. She demonstrates how to build a popularity-based recommender using the Pandas library, how to recommend similar items based on correlation, and how to deploy various machine learning algorithms to make recommendations. At the end of the course, she shows how to evaluate which recommender performed the best.",Course,2019-03-06 03:14 UTC,N/A,false,N/A,
Mathematica 11 Machine Learning,"Learn how to analyze data using the machine learning capabilities built into Mathematica 11. In this course, Curt Frye provides an overview of machine learning tasks, explains how to separate training data from test data, and shows how to import data from a file. He also demonstrates how to prepare data for machine learning, including how to replace values near zero with zero and sort elements using a rule. Curt also covers determining functions that generate data and performing supervised machine learning tasks.",Course,2018-11-29 11:19 UTC,N/A,false,N/A,
Linux: Network Configuration,"Networking is an essential part of a Linux administrator's skill set. Effective networks help users communicate, share resources, and get things done. Learn how to configure network interfaces and client-side services on Linux in this course with instructor Scott Simpson. He covers DHCP, DNS, Wi-Fi, and firewall configuration, working with both the CLI and the GUI (NetworkManager). Plus, learn how to route traffic between networks and troubleshoot your setup.<br><br>

Note: This course concentrates on the CentOS distribution of Linux, but there are separate lessons on configuring networking for Ubuntu/Debian.",Course,2019-06-10 18:43 UTC,N/A,false,N/A,
Processing: Interactive Data Visualization,"Start communicating ideas and diagramming data in a more interactive way. In this course, author Barton Poulson shows how to read, map, and illustrate data with Processing, an open-source drawing and development environment. On top of a solid introduction to Processing itself, this course investigates methods for obtaining and preparing data, designing for data visualization, and building an interactive experience out of a design. When your visualization is complete, explore the options for sharing your work, whether uploading it to specialized websites, embedding the visualizations in your own web pages, or even creating a desktop or Android app for your work.",Course,2018-09-01 07:49 UTC,N/A,false,N/A,
"Extending Hadoop for Data Science: Streaming, Spark, Storm, and Kafka","Extend your Hadoop data science knowledge by learning how to use other Apache data science platforms, libraries, and tools. This course goes beyond the basics of Hadoop MapReduce, into other key Apache libraries to bring flexibility to your Hadoop clusters. Coverage of core Spark, SparkSQL, SparkR, and SparkML is included. Learn how to scale and visualize your data with interactive Databricks clusters and notebooks and other implementations. This course is designed to help those working data science, development, or analytics get familiar with attendant technologies.",Course,2018-09-29 07:21 UTC,N/A,false,N/A,
Linux: Bash Shell and Scripts,"Bash scripting can help you automate routine tasks and save valuable time, whether you're a Linux user, sys admin, or software developer. Kevin Dankwardt has written thousands of bash scripts, short and long. Here he teaches you how to read and write scripts, and provides a series of scripting challenges to help you test your new skills. Learn about the bash environment, local variables, functions, loops, case statements, string operations, and coprocesses. Plus, learn how to use the text processing utilities sed and AWK to read and edit data in text files. The topics covered in this course are vital for Linux administration, and required for many Linux certifications.",Course,2018-09-26 02:59 UTC,N/A,false,N/A,
Docker for Data Scientists,"In a field where reproducible results are essential, Docker is rapidly emerging as one of the top tools for bringing efficiency to the work that data science teams—particularly those working in machine learning (ML)—are doing. Creating and developing ML models is often messy. Seasoned data scientists know that different versions of the same software can produce different results. With Docker, you can include the right versions of each needed dependency and library, so no one ever has to do any configuration. After the Dockerfile is built, you'll have exactly what you need. In this course, Jonathan Fernandes helps data scientists get up and running with Docker, demonstrating how to build a Dockerized ML application that can easily be shared. Along the way, he shares common use cases for the tool. Upon wrapping up this course, you'll be prepared to leverage the power of containers in your other ML projects.",Course,2020-01-13 07:54 UTC,N/A,false,N/A,
