Login Date,IP Address,User Agent,Login Type
Wed Feb 20 07:19:19 UTC 2019,2402:3a80:d97:5da6:8b0:e05f:2bba:8503,"Mozilla/5.0 (Linux; Android 8.1.0; Moto G (5S) Build/OPPS28.65-37-2-2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 mCent/0.13.1210",Third Party Login
Sun Mar 24 06:06:57 UTC 2019,27.63.161.203,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.263 motorola_Moto G (5S):android_8.1.0,Login
Wed Oct 09 01:57:10 UTC 2019,27.63.133.239,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",Login
Fri Mar 15 17:11:09 UTC 2019,2402:8100:205c:74e9:c0bb:abc2:63fa:cc2f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36",Login
Thu Apr 04 10:17:49 UTC 2019,2402:8100:206b:e4e0:c516:5fb1:7694:edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",Login
Tue Oct 13 05:43:10 UTC 2020,2401:4900:4161:b987:39a0:2b9f:47ef:64ff,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",Login
Tue Jun 04 10:46:38 UTC 2019,223.181.49.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Login
Wed Feb 27 08:44:53 UTC 2019,103.196.213.247,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36",Login
Fri Nov 20 06:53:42 UTC 2020,27.63.165.239,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",Login
Wed Oct 21 11:40:45 UTC 2020,106.223.184.207,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36",Login
Thu Apr 04 03:39:24 UTC 2019,223.181.82.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",Login
Sat Mar 09 16:40:50 UTC 2019,223.181.45.116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36",Login
Sat Aug 08 08:28:37 UTC 2020,2409:4053:814:a82:8719:31fa:6483:10a8,"Mozilla/5.0 (Linux; Android 8.1.0; Moto G (5S)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.111 Mobile Safari/537.36",Login
Tue Jan 22 17:22:09 UTC 2019,2402:8100:2040:f0f2:40f6:89b7:c3c6:666a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Login
Tue Mar 05 13:37:33 UTC 2019,223.181.57.250,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36",Login
Tue Jun 04 10:46:46 UTC 2019,223.181.49.96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Login
